url,slug,category,h1,image,image_alt,seoTitle,seoDescription,primaryKeyword,faqJson,canonicalSuggestion,isLikelyDuplicate,codexAction
https://luneva-psy.ru/blog/kompulsiya-navyazchivye-deystviya-ili-povedenie-vse-my-znaem-chto-nashe-povedenie-formiruetsya-v-detstve,kompulsiya-navyazchivye-deystviya-ili-povedenie-vse-my-znaem-chto-nashe-povedenie-formiruetsya-v-detstve,Полезные статьи,"Компульсии, детский опыт и пищевое поведение",/blog/kompulsiya-navyazchivye-deystviya-ili-povedenie-vse-my-znaem-chto-nashe-povedenie-formiruetsya-v-detstve.jpg,"Компульсии, детский опыт и пищевое поведение — статья психолога Александры Луневой","Компульсии, детский опыт и пищевое поведение | Luneva Psy","Как детский опыт, семейные привычки и способы утешения могут влиять на компульсивное пищевое поведение во взрослом возрасте.",компульсии и пищевое поведение,"[{""question"":""Что относится к расстройствам пищевого поведения?"",""answer"":""К РПП относят состояния, при которых мысли о еде, весе и теле, ограничения, переедание или компенсаторное поведение заметно ухудшают здоровье и качество жизни.""},{""question"":""Можно ли самостоятельно поставить себе диагноз РПП?"",""answer"":""Нет. Самонаблюдение и тесты могут подсказать, что стоит обратиться за помощью, но диагноз устанавливает врач или квалифицированный специалист.""},{""question"":""К кому обращаться при подозрении на РПП?"",""answer"":""Оптимально обратиться к врачу и специалисту по психическому здоровью, который имеет опыт работы с расстройствами пищевого поведения.""}]",https://luneva-psy.ru/blog/kompulsii-navyazchivye-deystviya-i-detskiy-opyt,True,fill_seo_fields_only
https://luneva-psy.ru/blog/kompulsivnoe-pereedanie-priznaki-i-pomosch,kompulsivnoe-pereedanie-priznaki-i-pomosch,Полезные статьи,Компульсивное переедание: признаки и помощь,/blog/kompulsivnoe-pereedanie-priznaki-i-pomosch.jpg,Компульсивное переедание: признаки и помощь — статья психолога Александры Луневой,Компульсивное переедание: признаки и помощь | Luneva Psy,"Признаки компульсивного переедания, возможные причины и способы получить психологическую помощь.",компульсивное переедание,"[{""question"":""Что относится к расстройствам пищевого поведения?"",""answer"":""К РПП относят состояния, при которых мысли о еде, весе и теле, ограничения, переедание или компенсаторное поведение заметно ухудшают здоровье и качество жизни.""},{""question"":""Можно ли самостоятельно поставить себе диагноз РПП?"",""answer"":""Нет. Самонаблюдение и тесты могут подсказать, что стоит обратиться за помощью, но диагноз устанавливает врач или квалифицированный специалист.""},{""question"":""К кому обращаться при подозрении на РПП?"",""answer"":""Оптимально обратиться к врачу и специалисту по психическому здоровью, который имеет опыт работы с расстройствами пищевого поведения.""}]",https://luneva-psy.ru/blog/kompulsivnoe-pereedanie-priznaki-i-pomosch,False,fill_seo_fields_only
https://luneva-psy.ru/blog/rasstro-stva-pischevogo-povedeniya-2,rasstro-stva-pischevogo-povedeniya-2,Полезные статьи,Расстройства пищевого поведения: виды и признаки,/blog/rasstro-stva-pischevogo-povedeniya-2.jpg,Расстройства пищевого поведения: виды и признаки — статья психолога Александры Луневой,Расстройства пищевого поведения: виды и признаки | Luneva Psy,"Что такое расстройства пищевого поведения, какие бывают виды РПП, основные признаки и когда нужна помощь специалиста.",расстройства пищевого поведения,"[{""question"":""Что относится к расстройствам пищевого поведения?"",""answer"":""К РПП относят состояния, при которых мысли о еде, весе и теле, ограничения, переедание или компенсаторное поведение заметно ухудшают здоровье и качество жизни.""},{""question"":""Можно ли самостоятельно поставить себе диагноз РПП?"",""answer"":""Нет. Самонаблюдение и тесты могут подсказать, что стоит обратиться за помощью, но диагноз устанавливает врач или квалифицированный специалист.""},{""question"":""К кому обращаться при подозрении на РПП?"",""answer"":""Оптимально обратиться к врачу и специалисту по психическому здоровью, который имеет опыт работы с расстройствами пищевого поведения.""}]",https://luneva-psy.ru/blog/rasstro-stva-pischevogo-povedeniya,True,fill_seo_fields_only
https://luneva-psy.ru/blog/travmy-vzroslyh-dete-alkogolikov,travmy-vzroslyh-dete-alkogolikov,Полезные статьи,Травмы взрослых детей алкоголиков,/blog/travmy-vzroslyh-dete-alkogolikov.jpg,Травмы взрослых детей алкоголиков — статья психолога Александры Луневой,Травмы взрослых детей алкоголиков | Психолог Александра Лунева,"Как детство в семье с зависимостью влияет на тревогу, самооценку, доверие, отношения и эмоциональное состояние взрослого человека.",взрослые дети алкоголиков,"[{""question"":""О чём статья «Травмы взрослых детей алкоголиков»?"",""answer"":""Материал объясняет тему «взрослые дети алкоголиков» простым и бережным языком и помогает понять, когда может быть полезна консультация психолога.""},{""question"":""Заменяет ли статья консультацию психолога?"",""answer"":""Нет. Статья носит информационный характер и не заменяет индивидуальную диагностику, медицинскую или психологическую помощь.""},{""question"":""Когда стоит обратиться за помощью?"",""answer"":""Если переживания сохраняются, усиливаются или заметно мешают повседневной жизни, лучше обсудить ситуацию с квалифицированным специалистом.""}]",https://luneva-psy.ru/blog/travmy-vzroslyh-detey-alkogolikov,True,fill_seo_fields_only
https://luneva-psy.ru/blog/fetsheyming-i-rasstroystva-pischevogo-povedeniya,fetsheyming-i-rasstroystva-pischevogo-povedeniya,Полезные статьи,Фэтшейминг и расстройства пищевого поведения,/blog/fetsheyming-i-rasstroystva-pischevogo-povedeniya.jpg,Фэтшейминг и расстройства пищевого поведения — статья психолога Александры Луневой,Фэтшейминг и расстройства пищевого поведения | Luneva Psy,"Как фэтшейминг влияет на самооценку, отношение к телу и риск развития расстройств пищевого поведения.",фэтшейминг и РПП,"[{""question"":""Что относится к расстройствам пищевого поведения?"",""answer"":""К РПП относят состояния, при которых мысли о еде, весе и теле, ограничения, переедание или компенсаторное поведение заметно ухудшают здоровье и качество жизни.""},{""question"":""Можно ли самостоятельно поставить себе диагноз РПП?"",""answer"":""Нет. Самонаблюдение и тесты могут подсказать, что стоит обратиться за помощью, но диагноз устанавливает врач или квалифицированный специалист.""},{""question"":""К кому обращаться при подозрении на РПП?"",""answer"":""Оптимально обратиться к врачу и специалисту по психическому здоровью, который имеет опыт работы с расстройствами пищевого поведения.""}]",https://luneva-psy.ru/blog/rasstroystva-pischevogo-povedeniya-i-vliyanie-sredy,True,fill_seo_fields_only
https://luneva-psy.ru/blog/kak-pomoch-tem-kto-sovershaet-self-harm,kak-pomoch-tem-kto-sovershaet-self-harm,Полезные статьи,"Как помочь человеку, который совершает self-harm",/blog/kak-pomoch-tem-kto-sovershaet-self-harm.jpg,"Как помочь человеку, который совершает self-harm — статья психолога Александры Луневой","Как помочь человеку, который совершает self-harm | Luneva Psy","Как поддержать близкого при самоповреждении без давления, обвинений и ультиматумов и когда обращаться за профессиональной помощью.",как помочь при self-harm,"[{""question"":""Что такое self-harm?"",""answer"":""Self-harm — это намеренное причинение себе вреда как способ справиться с сильной эмоциональной болью. Это не диагноз и не всегда означает суицидальное намерение, но требует серьёзного внимания и поддержки.""},{""question"":""Можно ли справиться с самоповреждением самостоятельно?"",""answer"":""Иногда человек может временно снизить импульс, но устойчивое прекращение самоповреждения обычно требует поддержки специалиста и безопасного плана действий.""},{""question"":""Когда нужна срочная помощь?"",""answer"":""Срочная помощь нужна при глубокой травме, сильном кровотечении, потере сознания, угрозе жизни или намерении покончить с собой. В такой ситуации следует немедленно обратиться в экстренную службу.""}]",https://luneva-psy.ru/blog/kak-pomoch-cheloveku-kotoryy-sovershaet-self-harm,True,fill_seo_fields_only
https://luneva-psy.ru/blog/kak-preodolevat-trudnosti-ne-pribegaya-k-selfharm,kak-preodolevat-trudnosti-ne-pribegaya-k-selfharm,Полезные статьи,Как справляться с трудностями без self-harm,/blog/kak-preodolevat-trudnosti-ne-pribegaya-k-selfharm.jpg,Как справляться с трудностями без self-harm — статья психолога Александры Луневой,Как справляться с трудностями без self-harm | Luneva Psy,Бережные способы выразить сильные чувства и пережить напряжение без самоповреждения. Материал не заменяет экстренную помощь.,как справляться без self-harm,"[{""question"":""Что такое self-harm?"",""answer"":""Self-harm — это намеренное причинение себе вреда как способ справиться с сильной эмоциональной болью. Это не диагноз и не всегда означает суицидальное намерение, но требует серьёзного внимания и поддержки.""},{""question"":""Можно ли справиться с самоповреждением самостоятельно?"",""answer"":""Иногда человек может временно снизить импульс, но устойчивое прекращение самоповреждения обычно требует поддержки специалиста и безопасного плана действий.""},{""question"":""Когда нужна срочная помощь?"",""answer"":""Срочная помощь нужна при глубокой травме, сильном кровотечении, потере сознания, угрозе жизни или намерении покончить с собой. В такой ситуации следует немедленно обратиться в экстренную службу.""}]",https://luneva-psy.ru/blog/kak-preodolevat-trudnosti-bez-self-harm,True,fill_seo_fields_only
https://luneva-psy.ru/blog/self-harm,self-harm,Полезные статьи,Self-harm: причины и важные признаки,/blog/self-harm.jpg,Self-harm: причины и важные признаки — статья психолога Александры Луневой,Self-harm: причины и важные признаки | Психолог Александра Лунева,"Что важно знать о самоповреждении, почему оно возникает у подростков и взрослых и где искать поддержку.",self-harm причины,"[{""question"":""Что такое self-harm?"",""answer"":""Self-harm — это намеренное причинение себе вреда как способ справиться с сильной эмоциональной болью. Это не диагноз и не всегда означает суицидальное намерение, но требует серьёзного внимания и поддержки.""},{""question"":""Можно ли справиться с самоповреждением самостоятельно?"",""answer"":""Иногда человек может временно снизить импульс, но устойчивое прекращение самоповреждения обычно требует поддержки специалиста и безопасного плана действий.""},{""question"":""Когда нужна срочная помощь?"",""answer"":""Срочная помощь нужна при глубокой травме, сильном кровотечении, потере сознания, угрозе жизни или намерении покончить с собой. В такой ситуации следует немедленно обратиться в экстренную службу.""}]",https://luneva-psy.ru/blog/self-harm-chto-vazhno-znat,True,fill_seo_fields_only
https://luneva-psy.ru/blog/mechtaem-kak-uolt-disne-2,mechtaem-kak-uolt-disne-2,Полезные статьи,Метод Уолта Диснея: как превратить мечту в план,/blog/mechtaem-kak-uolt-disne-2.jpg,Метод Уолта Диснея: как превратить мечту в план — статья психолога Александры Луневой,Метод Уолта Диснея: как превратить мечту в план | Luneva Psy,"Практическая техника Мечтатель, Реалист и Критик для поиска идей, планирования и проверки пути к цели.",метод Уолта Диснея,"[{""question"":""О чём статья «Метод Уолта Диснея: как превратить мечту в план»?"",""answer"":""Материал объясняет тему «метод Уолта Диснея» простым и бережным языком и помогает понять, когда может быть полезна консультация психолога.""},{""question"":""Заменяет ли статья консультацию психолога?"",""answer"":""Нет. Статья носит информационный характер и не заменяет индивидуальную диагностику, медицинскую или психологическую помощь.""},{""question"":""Когда стоит обратиться за помощью?"",""answer"":""Если переживания сохраняются, усиливаются или заметно мешают повседневной жизни, лучше обсудить ситуацию с квалифицированным специалистом.""}]",https://luneva-psy.ru/blog/mechtaem-kak-uolt-disne,True,fill_seo_fields_only
https://luneva-psy.ru/blog/vystraivaem-lichnye-granicy-2,vystraivaem-lichnye-granicy-2,Полезные статьи,Как выстроить личные границы,/blog/vystraivaem-lichnye-granicy-2.jpg,Как выстроить личные границы — статья психолога Александры Луневой,Как выстроить личные границы | Психолог Александра Лунева,"Что такое личные границы, почему их бывает трудно защищать и какие упражнения помогают обозначать свои потребности.",личные границы,"[{""question"":""О чём статья «Как выстроить личные границы»?"",""answer"":""Материал объясняет тему «личные границы» простым и бережным языком и помогает понять, когда может быть полезна консультация психолога.""},{""question"":""Заменяет ли статья консультацию психолога?"",""answer"":""Нет. Статья носит информационный характер и не заменяет индивидуальную диагностику, медицинскую или психологическую помощь.""},{""question"":""Когда стоит обратиться за помощью?"",""answer"":""Если переживания сохраняются, усиливаются или заметно мешают повседневной жизни, лучше обсудить ситуацию с квалифицированным специалистом.""}]",https://luneva-psy.ru/blog/vystraivaem-lichnye-granicy,True,fill_seo_fields_only
